Compound,ICSD#,Lattice,Pearson,Ncell,Eg,Efitg,me,mh,hPni/L,Pn1/L,Pn2/L,Pn3/L,hPpi/L,Pp1/L,Pp2/L,Pp3/L
Cl3Ti1,26069,hex,hP8,8,2.26,3.96,76.92,13.76,9.08,1.92,1.93,23.38,2.77,0.06,0.06,8.18
Cl3Y1,15684,mclc(3),mS16,8,4.87,7.48,2.16,5.41,3.90,1.97,4.22,5.51,3.98,2.97,4.14,4.85
Cl3Y2,23337,mclc(1),mS20,10,0.77,1.95,1.05,2.61,3.11,0.84,2.45,6.04,2.47,1.28,2.74,3.41
Cl4Cs2Hg1,39568,orc,oP28,28,3.33,5.40,0.56,6.76,3.44,2.98,3.58,3.76,9.22,1.13,2.27,24.27
Cl4F5N1Te1W1,37149,tri(1b),aP24,24,2.12,3.77,5.70,52.05,4.31,2.82,4.11,5.99,4.68,0.01,4.25,9.79
Cl4Ga2,14218,orc,oP24,24,3.91,6.19,3.27,5.12,4.41,3.67,4.28,5.30,7.02,3.79,5.84,11.43
Cl4Gd1Na1,33784,tri(1b),aP12,12,4.40,6.85,1.64,2.99,1.23,0.43,1.56,1.69,8.44,5.61,6.46,13.26
Cl4Gd2S1,56742,mclc(1),mS28,14,2.21,3.89,0.91,2.69,1.97,0.97,2.37,2.57,2.25,0.07,1.66,5.00
Cl4H4N1Tl1,14020,bct(2),tI40,20,2.42,4.18,0.74,5.66,1.78,1.59,1.74,2.02,8.85,5.44,10.44,10.68
Cl4Hf1,402054,mcl,mP10,10,4.12,6.47,7.98,3.39,3.08,1.80,2.87,4.57,5.30,3.41,5.81,6.67
Cl4Hg3O1,27169,cub,cP32,32,1.48,2.90,0.35,4.05,1.28,1.24,1.30,1.30,12.90,12.76,12.90,13.05
Cl4Li2Zn1,202743,fcc,cF56,14,4.13,6.48,0.43,6.65,0.35,0.35,0.35,0.35,9.28,9.28,9.28,9.28
Cl4Li2Zn1,73222,orc,oP28,28,5.10,7.78,0.51,4.63,2.17,0.27,2.53,3.71,11.72,10.04,11.17,13.95
Cl4Mo1O1,41418,tri(1b),aP12,12,1.49,2.93,14.26,13.74,4.19,0.83,3.35,8.37,4.43,1.42,3.51,8.36
Cl4Na1Sc1,402273,orc,oP24,24,3.82,6.06,7.76,3.82,15.77,10.71,13.57,23.04,8.20,5.52,8.79,10.29
Cl4S1Tl6,35289,tet,tP22,22,1.75,3.28,0.38,1.00,2.01,1.49,1.49,3.04,2.03,0.53,0.53,5.02
Cl4S1W1,16125,tri(1b),aP12,12,2.17,3.85,9.77,8.27,2.44,1.26,2.98,3.07,3.01,2.80,2.99,3.26
Cl4Sn1,411242,mcl,mP20,20,3.50,5.63,1.25,19.73,3.54,2.95,3.27,4.41,9.67,9.24,9.72,10.06
Cl4Zr1,26049,mcl,mP10,10,3.62,5.80,13.25,3.19,3.37,2.56,2.74,4.80,5.95,3.58,6.15,8.12
Cl5Cs1Sn2,93791,bct(2),tI32,16,3.05,5.03,3.23,1.54,4.43,0.08,6.61,6.61,5.75,1.76,7.75,7.75
Cl5Cs3Hg1,630,orc,oP36,36,3.26,5.31,0.65,4.84,2.39,2.05,2.23,2.90,9.90,8.10,10.09,11.51
Cl5Li1Yb2,77273,mclc(1),mS32,16,3.58,5.74,0.36,26.89,0.89,0.36,0.86,1.44,12.93,10.79,11.79,16.20
Cl5Mo1,84620,tri(1b),aP12,12,0.70,1.86,4.91,3.58,4.92,3.45,4.92,6.39,3.10,2.28,2.93,4.10
Cl5Nb3O2,91781,orc,oP40,40,1.06,2.34,5.91,5.74,11.77,0.29,5.57,29.45,8.25,4.76,8.68,11.31
Cl6Cs2Ge1,28892,fcc,cF36,9,2.19,3.86,0.78,3.89,1.80,1.80,1.80,1.80,6.54,6.54,6.54,6.54
Cl6Cs2In1Li1,65735,rhl(1),hR20,20,3.39,5.49,0.80,1.79,1.82,0.81,1.32,3.33,5.38,5.00,5.02,6.11
Cl6Cs2Li1Sc1,65734,rhl(1),hR20,20,3.88,6.15,2.75,1.74,8.56,7.39,8.18,10.11,8.68,8.40,8.66,8.99
Cl6Cs2Pb1,26713,fcc,cF36,9,1.59,3.06,0.54,3.03,0.51,0.51,0.51,0.51,5.30,5.30,5.30,5.30
Cl6Cs2Se1,26693,fcc,cF36,9,2.75,4.61,0.72,3.90,1.83,1.83,1.83,1.83,3.58,3.58,3.58,3.58
Cl6Cs2Sn1,9023,fcc,cF36,36,2.67,4.51,0.70,3.14,5.11,2.65,5.94,6.73,32.93,31.33,32.49,34.96
Cl6Cs2Te1,26704,fcc,cF36,9,2.70,4.55,0.59,3.43,1.21,1.21,1.21,1.21,3.06,3.06,3.06,3.06
Cl6Cs2Zr1,26695,fcc,cF36,9,3.64,5.82,3.35,3.94,5.69,5.69,5.69,5.69,5.39,5.39,5.39,5.39
Cl6Ga1N1Se2,71903,mcl,mP40,40,1.64,3.12,11.32,7.84,9.15,5.62,8.27,13.55,9.37,7.77,8.69,11.64
Cl6Ga1Sb1,24786,mcl,mP32,32,3.93,6.22,28.03,3.08,7.48,3.74,8.03,10.67,8.17,5.70,6.76,12.06
Cl6Gd3N1,63582,tri(1b),aP20,20,3.47,5.59,2.51,6.48,4.64,3.92,4.00,6.01,4.48,2.90,4.68,5.88
Cl6H4N1W1,412876,mclc(1),mS48,24,0.74,1.92,2.71,12.50,12.74,2.27,8.91,27.04,6.28,3.21,6.95,8.67
Cl6H8N2Sn1,605,fcc,cF68,17,2.31,4.03,0.50,3.99,0.96,0.96,0.96,0.96,9.98,9.98,9.98,9.98
Cl6Hf1Hg3Se2,412466,mcl,mP24,24,1.55,3.00,1.32,6.15,2.52,1.78,2.88,2.89,3.15,0.07,4.28,5.10
Cl6Hf1Te4,401589,tri(1b),aP11,11,1.27,2.63,2.88,2.56,2.58,1.98,2.44,3.33,4.93,2.20,4.37,8.22
Cl6Hg3S2Zr1,412469,mcl,mP24,24,1.77,3.30,3.68,3.51,4.25,2.14,4.63,5.97,3.21,0.26,4.36,5.03
Cl6Hg3Se2Zr1,412468,mcl,mP24,24,1.44,2.85,1.73,4.56,3.42,0.84,3.79,5.62,3.50,0.06,4.12,6.30
Cl6I1Se6W1,78789,tri(1b),aP14,14,0.63,1.77,5.62,2.30,3.54,1.68,1.72,7.21,3.29,3.12,3.37,3.38
Cl6I2,24714,tri(1b),aP8,8,1.68,3.17,1.20,2.14,1.77,1.08,1.31,2.92,1.22,0.59,1.23,1.84
Cl6Na1Sb1,36517,tet,tP16,16,2.04,3.67,1.42,6.23,3.76,3.03,4.13,4.13,7.07,3.28,3.28,14.64
Cl6Na3Y1,59886,mcl,mP20,20,4.93,7.55,2.02,9.11,15.06,5.09,5.96,34.13,7.36,1.06,3.30,17.71
Cl6O1S8Ti4,64624,mclc(3),mS76,38,2.08,3.71,7.02,4.56,7.38,2.50,3.04,16.61,8.72,5.12,8.16,12.87
Cl6S8W1,65685,tri(1b),aP30,30,0.72,1.88,7.78,57.43,6.66,0.07,9.04,10.88,2.02,0.22,2.70,3.15
Cl6Sn1Tl2,26700,fcc,cF36,9,2.45,4.22,0.56,8.18,0.05,0.05,0.05,0.05,5.41,5.41,5.41,5.41
Cl6Te1Tl2,26705,fcc,cF36,9,2.55,4.35,0.54,13.98,1.32,1.32,1.32,1.32,3.06,3.06,3.06,3.06
Cl6W1,2364,hex,hP21,21,1.86,3.42,3.21,4.16,10.18,5.27,7.13,18.15,17.99,10.49,11.08,32.41
Cl6W1,26081,rhl(1),hR7,7,1.77,3.30,1.72,6.87,4.87,3.49,5.45,5.67,4.06,3.52,4.27,4.40
Cl7Ga3,67279,orc,oP40,40,3.99,6.29,2.42,4.24,8.23,5.32,5.77,13.59,7.04,5.54,5.81,9.79
Cl7I1S1,200374,mcl,mP36,36,1.67,3.16,1.96,18.08,9.14,1.52,4.41,21.49,5.85,2.95,4.07,10.53
Cl7In1Y2,201429,orc,oP40,40,3.98,6.27,2.24,3.33,7.71,2.34,5.43,15.35,17.47,7.12,7.80,37.50
Cl7Mo1O1Se1,410101,tri(1b),aP20,20,1.84,3.40,9.07,6.27,3.55,2.91,3.71,4.04,3.25,1.82,2.62,5.30
Cl7N2Sb1Se3,406352,tri(1b),aP26,26,1.69,3.19,2.94,5.57,3.48,1.95,3.20,5.29,3.77,1.12,2.20,8.00
Cl7Nb3Se5,10066,mcl,mP30,30,1.29,2.65,2.30,7.15,4.71,2.65,4.37,7.12,4.35,0.04,4.13,8.88
Cl8I1Sb1,26509,tet,tP40,40,1.60,3.06,3.46,10.15,11.02,4.91,13.72,14.42,5.72,5.23,5.91,6.00
Cl8I3Sb1,26402,tri(1b),aP12,12,1.19,2.52,7.55,8.51,3.22,1.28,3.27,5.12,2.62,0.79,3.07,3.99
Cl8N6Sb2,10353,mcl,mP32,32,1.88,3.44,3.25,4.65,7.87,6.14,8.58,8.89,6.64,4.55,5.56,9.80
Cl8O2Se4Te3W2,380129,mclc(1),mS76,38,0.74,1.91,2.30,0.98,9.30,4.75,6.05,17.10,6.03,3.35,6.32,8.42
Cl9Nb1Te1,410946,tri(1b),aP22,22,2.38,4.12,2.27,6.80,5.24,4.64,5.17,5.91,2.71,1.77,2.41,3.94
Cl9P1Sn1,60094,orcc,oS44,22,2.45,4.22,3.21,9.42,3.69,0.14,2.98,7.94,5.26,4.45,4.80,6.53
Cl9Ta1Te1,410947,tri(1b),aP22,22,2.79,4.67,2.09,8.30,5.78,4.11,5.89,7.34,3.76,2.20,3.65,5.42
Cl9Te1W1,410945,tri(1b),aP22,22,0.63,1.76,25.67,6.45,5.71,4.39,4.65,8.09,4.47,1.73,2.70,8.97
Co1F2,9167,tet,tP6,6,4.21,6.58,0.49,9.64,0.17,0.09,0.21,0.21,5.08,3.42,5.91,5.91
Co1F3,16672,rhl(1),hR8,8,1.48,2.90,1.86,1.76,0.46,0.31,0.35,0.73,7.30,5.65,7.85,8.38
Co1S2,43715,cub,cP12,12,0.66,1.80,3.45,0.96,3.49,3.49,3.49,3.49,1.81,1.81,1.81,1.81
Co1Se2,42539,cub,cP12,12,0.48,1.55,0.96,1.02,3.18,3.08,3.20,3.25,2.28,2.10,2.33,2.40
Co9S8,23929,fcc,cF68,17,0.59,1.71,1.93,17.78,0.19,0.19,0.19,0.19,11.69,11.69,11.69,11.69
Cr1I2,4073,mclc(1),mS6,3,1.23,2.58,0.71,3.26,1.45,0.38,1.01,2.96,1.20,0.85,0.87,1.87
Cr1La1O3,28930,cub,cP5,5,1.79,3.33,0.72,1.69,2.20,2.20,2.20,2.20,3.48,3.48,3.48,3.48
Cr1S1,16723,mclc(3),mS8,4,0.13,1.09,1.33,0.89,0.34,0.16,0.41,0.46,0.26,0.20,0.25,0.34
Cr2F5,14135,mclc(5),mS28,14,1.31,2.68,3.17,14.37,6.35,0.14,6.05,12.87,5.77,0.31,5.64,11.36
Cs1Eu1F3,49577,cub,cP5,5,1.56,3.01,0.47,7.49,0.03,0.03,0.03,0.03,7.87,7.83,7.88,7.89
Cs1F1O2S1,93070,orc,oP20,20,5.05,7.73,5.19,8.92,8.17,3.11,6.01,15.38,6.82,5.72,6.28,8.48
Cs1F1,44288,fcc,cF8,2,5.16,7.87,0.42,8.98,0.06,0.06,0.06,0.06,3.19,3.19,3.19,3.19
Cs1F1,61563,cub,cP2,2,5.79,8.72,0.51,5.28,0.13,0.13,0.13,0.13,2.46,2.46,2.46,2.46
Cs1F2H1,45858,bct(2),tI16,16,6.51,9.68,0.51,3.47,3.61,2.19,4.28,4.36,13.08,11.93,13.65,13.65
Cs1F2Li1,18020,mclc(3),mS32,16,6.33,9.44,0.49,22.66,0.47,0.45,0.47,0.50,16.91,2.41,23.80,24.53
Cs1F2N1O4S2,81866,mcl,mP40,40,3.72,5.93,0.67,16.00,2.36,1.40,2.75,2.93,9.36,0.58,8.11,19.40
Cs1F2O2P1,16875,orc,oP24,24,5.49,8.31,0.52,7.22,0.89,0.88,0.89,0.91,9.11,5.67,9.01,12.64
Cs1F3Hg1,15168,cub,cP5,5,0.72,1.89,0.34,325.67,0.10,0.10,0.10,0.10,1.56,1.56,1.56,1.56
Cs1F3Pb1,30739,cub,cP5,5,2.65,4.48,0.53,0.35,0.23,0.23,0.23,0.23,0.04,0.04,0.04,0.04
Cs1F3Pb1,93438,rhl(1),hR10,10,3.34,5.42,0.80,0.58,0.66,0.56,0.60,0.83,0.36,0.19,0.22,0.66
Cs1F3Sr1,49578,cub,cP5,5,6.19,9.25,0.48,11.85,0.74,0.55,0.60,1.09,12.80,12.11,12.43,13.86
Cs1F3Yb1,49579,cub,cP5,5,1.79,3.32,0.44,10.11,0.15,0.15,0.15,0.15,11.46,11.46,11.46,11.46
Cs1F5Te1,200252,orc,oP28,28,5.35,8.13,1.08,9.05,4.58,3.29,4.29,6.15,7.35,2.66,4.13,15.27
Cs1F7Sb2,14119,mclc(1),mS40,20,4.21,6.58,1.54,2.51,2.18,0.40,2.45,3.68,2.70,0.39,2.89,4.82
Cs1Ga1S2,41888,mclc(3),mS16,8,3.32,5.39,0.33,3.90,1.95,0.17,2.42,3.27,1.92,1.67,1.89,2.20
Cs1Ga1S3,281723,mcl,mP20,20,2.53,4.32,0.79,2.79,3.06,2.19,2.62,4.36,4.87,2.45,5.42,6.73
Cs1H1O3S1,56615,rhl(1),hR6,6,5.84,8.79,0.79,3.79,1.89,1.45,1.86,2.35,3.22,3.08,3.21,3.38
Cs1H1,53235,cub,cP2,2,2.41,4.17,0.40,0.42,0.17,0.17,0.17,0.18,0.03,0.03,0.03,0.03
Cs1H1,53236,fcc,cF8,2,2.32,4.05,0.51,0.91,0.17,0.17,0.17,0.17,0.33,0.33,0.33,0.33
Cs1Hg1Se3Y1,281440,orcc,oS24,12,1.40,2.79,0.28,1.66,0.93,0.22,1.23,1.34,1.87,0.18,0.91,4.52
Cs1I1O4,83375,orc,oP24,24,3.02,4.98,0.70,5.52,1.75,1.34,1.35,2.55,15.99,9.77,17.21,21.00
Cs1I1,61517,fcc,cF8,2,3.99,6.29,0.34,2.16,0.06,0.06,0.06,0.06,1.45,1.45,1.45,1.45
Cs1I3Sn1,69995,tet,tP10,10,0.49,1.58,0.75,0.10,0.89,0.66,0.66,1.35,0.12,0.02,0.17,0.17
Cs1I3Sn1,69997,cub,cP5,5,0.46,1.53,0.40,0.11,0.30,0.30,0.30,0.30,0.01,0.01,0.01,0.01
Cs1I4Tl1,59110,mcl,mP24,24,1.41,2.81,1.11,9.01,3.21,1.30,1.89,6.44,5.26,0.55,1.16,14.08
Cs1In3O5,23630,orc,oP36,36,1.65,3.13,0.26,11.11,0.96,0.67,0.69,1.51,25.08,17.37,17.67,40.21
Cs1Li1Mo1O4,20805,fcc,cF28,7,4.75,7.31,2.12,8.54,4.01,4.01,4.01,4.01,7.37,7.37,7.37,7.37
Cs1Li1O4S1,63181,tri(1b),aP28,28,5.50,8.33,0.53,4.67,1.68,1.35,1.46,2.22,14.52,11.01,15.74,16.80
Cs1N1O3,16339,orc,oP10,10,3.42,5.53,2.48,8.35,0.83,0.42,0.96,1.10,5.67,0.97,5.03,11.02
Cs1N3O4S2,281172,mcl,mP40,40,2.77,4.65,13.05,9.79,10.32,7.53,10.43,13.01,11.43,3.22,8.65,22.42
Cs1Nb1O3,1266,mcl,mP40,40,3.99,6.29,4.71,10.66,12.26,7.76,8.63,20.38,12.72,8.18,11.01,18.97
Cs1O2Sb1,59329,mclc(5),mS16,16,2.43,4.19,0.88,10.08,1.07,0.81,1.09,1.30,2.99,0.63,2.25,6.08
Cs1O3,33847,mcl,mP16,16,0.83,2.03,20.97,3.24,6.83,4.76,6.38,9.35,6.43,4.23,4.38,10.67
Cs1O4P1Zn1,85456,orc,oP28,28,2.14,3.80,0.70,20.06,2.22,1.57,2.35,2.73,14.67,0.08,0.88,43.07
Cs1O4P1Zn1,85457,orc,oP28,28,4.35,6.77,0.47,7.23,1.06,0.24,0.57,2.38,13.84,3.89,16.35,21.28
Cs1S6Sb1,67977,mcl,mP32,32,0.47,1.55,3.29,2.42,7.40,2.54,6.60,13.07,8.73,2.49,3.03,20.68
Cs1Sb1,14031,orc,oP16,16,0.56,1.67,0.65,2.58,0.62,0.33,0.42,1.10,2.31,0.14,1.06,5.73
Cs1Sb1,412154,mcl,mP32,32,0.54,1.64,1.25,1.07,2.42,0.32,1.81,5.13,2.13,0.47,0.97,4.93
Cs1Sb2Se4,61220,tri(1b),aP14,14,1.03,2.30,0.32,1.06,1.22,0.84,0.85,1.98,1.10,0.50,1.30,1.51
Cs1Te4,47182,mcl,mP20,20,0.55,1.65,0.24,0.44,3.41,1.16,2.78,6.29,0.54,0.19,0.39,1.03
Cs2F1O3P1,172345,orc,oP28,28,4.49,6.97,0.45,4.53,1.06,0.88,1.06,1.23,10.07,1.03,8.88,20.30
Cs2F6Ge1,35547,fcc,cF36,36,5.98,8.97,0.70,10.27,5.55,3.13,6.60,6.91,32.28,31.70,32.13,33.01
Cs2F6Si1,26871,fcc,cF36,36,6.89,10.20,0.53,12.51,2.97,1.41,3.07,4.42,36.50,34.94,37.21,37.34
Cs2Ge1Li2O4,36532,tri(1b),aP18,18,3.66,5.85,0.40,6.88,0.41,0.32,0.41,0.51,6.79,5.32,6.83,8.21
Cs2Ge2Se5,411030,mclc(5),mS72,36,1.81,3.35,0.37,3.42,5.01,4.08,5.22,5.72,9.17,4.86,10.49,12.17
Cs2Ge3O9Sn1,19031,hex,hP30,30,2.58,4.39,0.41,4.52,0.73,0.54,0.79,0.85,12.46,6.37,6.50,24.51
Cs2Hf1I6,201308,fcc,cF36,9,2.20,3.88,2.21,1.82,3.07,3.07,3.07,3.07,3.84,3.84,3.84,3.84
Cs2Hg1I4,63110,mcl,mP14,14,2.15,3.81,0.46,3.33,0.83,0.28,0.55,1.67,2.36,0.25,0.60,6.22
Cs2Hg3S8Sn2,85598,tri(1b),aP15,15,1.71,3.21,0.33,1.43,0.24,0.18,0.20,0.35,3.47,1.66,2.47,6.28
Cs2I5Li3,35655,mclc(1),mS20,20,3.84,6.09,0.34,2.81,1.04,0.58,1.18,1.37,6.34,3.08,7.47,8.46
Cs2I6Sn1,22105,fcc,cF36,9,0.11,1.07,0.23,1.71,0.87,0.87,0.87,0.87,3.03,3.03,3.03,3.03
Cs2I6Te1,38105,fcc,cF36,36,1.41,2.81,0.34,1.27,3.17,2.10,3.03,4.38,20.02,19.39,20.09,20.56
Cs2Li2O4Si1,33809,tri(1b),aP18,18,3.95,6.24,0.46,5.92,0.47,0.30,0.33,0.79,5.37,4.72,5.60,5.80
Cs2O1,27919,rhl(1),hR3,3,1.15,2.46,0.33,2.58,0.04,0.04,0.05,0.05,2.26,0.64,3.02,3.13
Cs2O2Pb1,2268,tri(1b),aP20,20,1.55,3.00,1.55,6.71,1.52,0.16,1.70,2.69,4.91,2.25,5.87,6.60
Cs2O2Zn1,2378,mcl,mP40,40,2.09,3.74,0.37,13.42,1.70,1.41,1.42,2.25,10.27,8.70,9.76,12.35
Cs2O3Sn2,24392,orc,oP28,28,2.55,4.35,0.89,6.53,7.90,5.98,6.07,11.64,8.80,4.92,9.11,12.36
Cs2S1,1030,orc,oP12,12,2.21,3.89,0.29,1.64,0.23,0.20,0.23,0.26,5.86,2.36,5.69,9.51
Cs2S5,201073,orc,oP28,28,1.84,3.39,2.04,5.30,3.69,3.42,3.60,4.05,8.45,3.23,7.52,14.61
Cs2S6Sn2,73008,tri(1b),aP10,10,1.79,3.33,4.31,3.73,1.09,0.54,1.09,1.65,2.60,1.61,2.79,3.41
Cs2S6,24678,tri(1b),aP16,16,1.54,3.00,3.07,10.47,2.15,0.58,1.68,4.19,3.42,2.45,3.68,4.13
Cs2S8Sb4,67976,tri(1b),aP14,14,1.28,2.65,0.33,3.60,0.88,0.56,0.76,1.33,1.72,1.39,1.68,2.08
Cs2Se6Sn2,402842,tri(1b),aP10,10,1.14,2.45,1.76,2.20,0.69,0.42,0.43,1.22,1.61,1.17,1.68,1.99
Cs2Se6Te2,84993,mcl,mP20,20,0.76,1.94,0.28,0.49,1.97,0.75,1.50,3.66,0.91,0.50,1.04,1.18
Cs2Si2Te6,61397,mclc(3),mS40,20,1.20,2.53,0.71,1.80,2.60,1.99,2.81,3.01,4.68,1.19,5.27,7.57
Cs2Sn1Te4,74826,orc,oP28,28,0.63,1.76,0.64,1.93,2.91,1.88,2.53,4.31,4.19,1.94,2.66,7.97
Cs2Te1,36501,mcl,mP12,12,1.90,3.47,0.26,1.64,0.19,0.16,0.17,0.23,5.26,3.33,5.03,7.42
Cs2Te2,83351,orc,oP8,8,1.00,2.26,0.61,1.13,1.49,1.18,1.57,1.72,1.09,0.31,0.49,2.47
Cs3F3Mo2O6,200691,hex,hP28,28,3.94,6.22,7.94,4.47,6.94,6.46,7.12,7.26,10.45,6.57,8.92,15.86
Cs3F7Si1,9588,tet,tP22,22,5.88,8.83,0.45,12.13,1.28,0.94,0.94,1.96,21.48,20.38,22.04,22.04
Cs3F7Ti1,9594,tet,tP22,22,3.29,5.34,51.24,12.84,7.37,3.55,3.55,15.02,20.87,19.73,21.44,21.44
Cs3I9Y2,26564,hex,hP28,28,2.59,4.41,0.82,0.96,2.14,1.57,2.41,2.42,7.76,1.70,9.38,12.21
Cs3O3Sb1,279580,cub,cP28,28,3.17,5.18,1.96,2.23,16.75,16.74,16.74,16.76,12.27,12.27,12.27,12.27
Cs3P1Se4,415021,orc,oP32,32,1.97,3.57,0.61,2.29,3.79,1.20,3.69,6.48,9.60,8.03,9.79,10.97
Cs3S4Sb1,409619,orc,oP32,32,2.34,4.07,0.60,3.34,2.75,2.33,2.37,3.56,11.34,9.65,10.53,13.83
Cs3Sb1Se3,89609,cub,cP28,28,2.33,4.05,5.49,3.68,7.15,6.52,7.23,7.72,10.06,9.50,10.27,10.40
Cs3Sb1Se4,404083,orc,oP32,32,1.61,3.08,0.52,2.23,4.04,2.05,3.78,6.30,7.85,5.57,7.96,10.02
Cs3Sb1,53243,fcc,cF16,4,0.76,1.94,0.19,0.72,0.05,0.05,0.05,0.05,1.06,1.06,1.06,1.06
Cs4F10Mg3,16084,orcc,oS68,34,6.48,9.65,0.46,6.46,2.04,0.97,1.40,3.74,17.52,4.54,7.54,40.47
Cs4Ge2S8,281352,mclc(1),mS28,14,2.45,4.21,1.58,2.23,2.03,0.58,1.32,4.18,2.04,0.07,0.88,5.17
Cs4Ge2Se6,415215,mclc(1),mS24,12,1.61,3.09,1.33,1.71,1.64,0.53,1.31,3.07,2.76,1.21,2.22,4.84
Cs4Ge2Se8,74832,mclc(1),mS28,14,1.74,3.26,0.76,1.69,2.07,1.04,1.24,3.91,1.93,0.09,0.93,4.78
Cs4Ge4S10,409455,mclc(5),mS72,36,2.60,4.42,0.48,3.82,12.35,5.60,14.94,16.53,8.76,4.57,9.52,12.18
Cs4O3Pb1,65246,mcl,mP32,32,1.22,2.55,3.41,2.99,4.25,0.73,3.11,8.92,6.41,3.48,4.23,11.53
Cs4O4Pb1,16363,mcl,mP36,36,1.53,2.98,0.46,3.92,1.90,1.07,1.93,2.70,12.97,7.38,13.11,18.43
Cs4O4Sn1,65970,mcl,mP36,36,2.45,4.22,0.34,12.96,0.98,0.83,1.01,1.10,14.42,7.88,10.20,25.18
Cs4O8P4S4,20543,tri(1b),aP20,20,4.29,6.69,0.47,5.00,1.03,0.81,0.92,1.36,6.58,4.33,7.48,7.92
Cs4P2Se9,81298,mclc(3),mS60,30,1.55,3.00,1.09,5.51,4.73,2.34,2.89,8.96,5.47,5.12,5.26,6.02
Cs4Se10Si4,409816,mclc(5),mS72,36,2.59,4.40,0.38,3.27,4.32,2.53,3.03,7.41,8.15,4.22,9.30,10.93
Cs4Se6Sn2,67251,mclc(1),mS24,24,1.72,3.23,0.40,1.51,4.74,1.42,1.87,10.93,7.33,1.15,2.27,18.56
Cs4Se8Si2,409815,mclc(1),mS28,28,2.00,3.62,1.41,1.18,1.68,1.00,1.44,2.61,1.89,0.47,1.09,4.12
Cs6O7Si2,411665,mcl,mP30,30,3.17,5.18,0.40,3.25,2.22,1.08,2.24,3.35,7.82,5.61,8.47,9.38
Cs6P2Se14Sn2,87578,tri(1b),aP24,24,1.57,3.02,0.93,10.05,3.30,2.27,3.67,3.97,2.62,1.93,2.32,3.61
Cu2O1,26963,cub,cP6,6,0.65,1.79,0.82,1.87,0.93,0.93,0.93,0.93,2.34,2.33,2.33,2.37
Cu3N1,25675,cub,cP4,4,0.51,1.60,0.83,1.03,0.38,0.38,0.38,0.38,0.61,0.61,0.61,0.61
Cu3Nb1S4,108392,cub,cP8,8,1.90,3.47,1.19,1.22,1.75,1.70,1.73,1.81,2.06,2.04,2.07,2.08
Cu3Nb1Se4,73956,cub,cP8,8,1.55,3.00,1.07,1.00,1.41,1.41,1.41,1.41,1.23,1.23,1.23,1.23
Cu3S4Ta1,53335,cub,cP8,8,2.17,3.84,1.31,1.24,3.65,2.97,3.63,4.34,3.11,3.02,3.10,3.20
Cu3S4V1,1414,cub,cP8,8,1.28,2.63,1.92,1.21,3.57,3.55,3.55,3.60,1.31,1.30,1.31,1.31
Cu3Se4Ta1,108406,cub,cP8,8,1.80,3.34,1.23,1.01,1.58,1.58,1.58,1.58,1.42,1.42,1.42,1.42
Cu3Se4V1,409449,cub,cP8,8,1.05,2.34,1.87,1.05,3.38,3.38,3.38,3.38,1.24,1.24,1.24,1.24
Cu3Ta1Te4,80282,cub,cP8,8,1.27,2.62,1.06,0.69,1.47,1.47,1.47,1.47,0.74,0.74,0.74,0.74
Dy2Se3,419,orc,oP20,20,0.36,1.40,0.42,0.97,1.04,0.79,0.84,1.49,2.60,1.97,2.55,3.28
Er1N1,44777,fcc,cF8,2,0.12,1.08,0.25,0.54,0.09,0.09,0.09,0.09,0.22,0.22,0.22,0.22
Eu1H3Li1,53429,cub,cP5,5,0.43,1.50,0.35,0.27,0.18,0.18,0.18,0.18,0.23,0.23,0.23,0.24
Eu1I2,22131,mcl,mP12,12,3.27,5.32,1.30,4.10,1.45,0.38,1.96,2.02,5.26,4.06,4.40,7.32
Eu1O1,53437,fcc,cF8,2,0.26,1.27,0.28,1.82,0.03,0.03,0.03,0.03,0.87,0.87,0.87,0.87
Eu1O3Ti1,24669,cub,cP5,5,0.79,1.97,0.73,11.21,1.12,1.11,1.12,1.13,12.32,12.22,12.22,12.52
Eu2O3,8056,mclc(1),mS30,15,0.18,1.16,9.31,3.31,8.23,6.71,8.71,9.27,10.58,7.78,10.86,13.10
F10H1P1Pb2,419141,tri(1b),aP14,14,5.46,8.27,0.55,2.91,3.70,3.05,3.30,4.74,4.34,1.76,5.25,6.03
F10Nb1Sb1,16095,tri(1b),aP24,24,4.71,7.26,2.27,16.98,8.51,3.34,5.47,16.74,10.63,5.89,7.81,18.21
F10Pb3Zr1,100600,orcc,oS56,28,4.68,7.22,3.72,3.40,4.23,1.59,3.51,7.59,10.24,2.00,8.24,20.47
F11Na1Zn1Zr2,81223,mclc(1),mS30,15,5.88,8.84,26.82,7.26,7.90,0.12,4.71,18.88,4.80,0.85,3.39,10.15
F12Ge5,10295,mcl,mP34,34,3.86,6.11,0.75,8.22,6.36,2.90,6.99,9.20,7.56,6.25,7.70,8.74
F12I4Sb2,63301,tri(1b),aP18,18,0.55,1.65,10.97,2.03,3.13,0.94,2.51,5.93,3.31,0.98,1.03,7.91
F12P4Pt1,418726,bcc,cI34,17,4.99,7.64,3.01,9.21,9.66,9.28,9.80,9.90,12.51,12.47,12.47,12.58
F12Sb2Te4,201222,tri(1b),aP18,18,1.11,2.41,11.37,1.07,2.36,0.02,0.28,6.79,2.21,0.00,0.04,6.58
F14Sb4,35709,mcl,mP36,36,3.77,5.99,4.17,2.25,8.24,3.22,6.61,14.88,10.25,5.83,11.26,13.67
