Compound,ICSD#,Lattice,Pearson,Ncell,Eg,Efitg,me,mh,hPni/L,Pn1/L,Pn2/L,Pn3/L,hPpi/L,Pp1/L,Pp2/L,Pp3/L
As1Ce1O4,280982,mcl,mP24,24,0.82,2.02,17.94,7.74,10.84,4.88,10.75,16.89,12.98,9.43,10.92,18.57
As1Cl13Nb1P1,25110,orcc,oS64,32,2.54,4.34,11.47,17.79,6.25,2.35,6.93,9.47,9.06,8.39,8.74,10.05
As1Cl13P1Sb1,25109,orcc,oS64,32,2.12,3.77,1.99,11.05,5.50,1.70,6.31,8.48,8.76,7.84,8.65,9.79
As1Cl13P1Ta1,25111,orcc,oS64,32,2.59,4.40,11.37,19.93,3.88,2.21,3.72,5.70,8.44,7.02,8.00,10.29
As1Cl1Hg3O4,89687,cub,cP36,36,2.04,3.67,1.21,2.60,9.37,8.78,9.42,9.91,12.06,11.34,11.69,13.14
As1Cl1O2Pb1,66246,orc,oP40,40,3.33,5.40,1.69,2.41,10.55,5.81,10.27,15.58,11.07,8.74,11.65,12.83
As1Cl2Hg2,39930,mclc(1),mS40,20,1.32,2.70,0.36,1.30,1.24,0.94,1.38,1.40,6.73,3.20,7.81,9.19
As1Cl3,35133,orc,oP16,16,3.98,6.27,1.94,5.96,5.37,2.00,6.40,7.70,5.43,0.81,1.40,14.07
As1Cl5,412103,orc,oP12,12,1.40,2.80,1.74,9.39,1.52,0.06,1.22,3.28,6.91,1.31,2.40,17.01
As1Co1S1,53938,cub,cP12,12,0.87,2.08,2.00,0.39,3.63,3.63,3.63,3.63,4.64,4.64,4.64,4.64
As1Cs1F4,54852,mcl,mP12,12,4.91,7.53,0.79,6.60,2.79,1.08,1.64,5.64,4.65,1.12,4.21,8.63
As1Cs1Se2,65299,orc,oP32,32,1.36,2.75,0.71,0.99,5.86,0.76,6.72,10.09,2.40,1.16,2.82,3.22
As1Cs2Na1O4,36533,mcl,mP16,16,3.84,6.09,0.40,4.44,0.38,0.36,0.36,0.41,9.32,1.69,11.58,14.70
As1Cs3O4,412392,orc,oP32,32,3.57,5.72,0.40,5.74,1.31,0.94,1.41,1.59,16.99,12.61,13.39,24.96
As1F3,35132,orc,oP16,16,5.18,7.89,1.78,1.87,3.11,2.58,2.99,3.78,2.45,1.62,1.75,3.99
As1F5N4S4,14083,mcl,mP28,28,1.73,3.25,3.58,4.73,5.57,0.57,4.77,11.36,8.03,1.00,1.14,21.96
As1F6H3O1,61236,tri(1b),aP22,22,4.82,7.41,0.94,5.39,2.66,2.53,2.60,2.85,9.42,8.38,8.43,11.45
As1F6I1Se6,35351,mcl,mP28,28,1.56,3.02,2.86,6.50,3.83,0.91,2.80,7.77,8.68,5.60,7.87,12.58
As1F6I3,15527,tri(1b),aP20,20,1.32,2.69,2.51,4.04,4.46,2.21,4.67,6.51,4.95,3.06,5.89,5.90
As1F6Li1,74831,rhl(1),hR8,8,5.07,7.75,1.34,24.96,0.08,0.08,0.08,0.08,10.68,9.63,11.11,11.30
As1F6N1S2,62120,mclc(1),mS20,10,2.58,4.39,5.69,5.26,6.33,0.76,6.27,11.95,4.26,0.95,3.56,8.29
As1F6N2S3,31787,tri(1b),aP24,24,0.59,1.70,18.62,6.23,5.02,2.52,4.06,8.48,6.66,2.01,4.83,13.13
As1F7Pb1,411788,tri(1b),aP18,18,4.21,6.58,1.19,6.01,1.79,0.53,1.44,3.41,5.26,1.60,2.59,11.59
As1F8Sb1,9920,mcl,mP20,20,3.83,6.08,3.47,4.29,1.78,0.51,1.44,3.39,7.60,2.65,5.41,14.74
As1Ga1,41674,fcc,cF8,2,0.29,1.30,0.08,0.71,0.00,0.00,0.00,0.00,0.24,0.24,0.24,0.24
As1Ge1Se1,100828,orc,oP24,24,1.45,2.87,0.41,2.20,4.75,3.65,5.28,5.32,9.88,7.42,10.42,11.80
As1Ge1,86361,mclc(1),mS24,12,0.20,1.19,0.09,0.42,1.66,0.01,0.13,4.83,1.13,0.18,1.25,1.96
